,Repository,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
0,VoxFormer,11,34,24,47,45,71,211.02748440752185,389.9215698394069,7.602941176470588,2964.5507589260787,164.69726438478216,0.12997385661313562
1,VoxFormer,10,51,32,63,61,95,322.5129733894199,563.4200470684742,6.176470588235294,3479.9473495405764,193.3304083078098,0.18780668235615808
2,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,VoxFormer,9,64,55,98,73,153,412.5293250129808,947.0431575086427,6.890625,6525.719257207991,362.53995873377727,0.3156810525028809
7,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,VoxFormer,4,8,6,12,12,18,32.0,64.52932501298082,3.0,193.58797503894246,10.75488750216347,0.02150977500432694
9,VoxFormer,1,4,2,4,5,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725
10,VoxFormer,7,18,13,26,25,39,94.71013448036484,181.11039140121426,5.055555555555555,915.6136454172498,50.867424745402765,0.06037013046707142
11,VoxFormer,8,13,10,17,21,27,72.10571633583419,118.59257041502654,5.230769230769231,620.3303683247542,34.46279824026412,0.03953085680500885
12,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
13,VoxFormer,13,105,90,172,118,262,753.1014956907771,1803.2524789328024,10.647619047619047,19200.345442351172,1066.6858579083985,0.6010841596442674
14,VoxFormer,1,1,1,1,2,2,0.0,2.0,0.5,1.0,0.05555555555555555,0.0006666666666666666
15,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,VoxFormer,6,60,43,86,66,129,369.92321074083804,779.7268413972405,4.3,3352.825418008134,186.26807877822966,0.25990894713241347
17,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20,VoxFormer,7,16,13,24,23,37,83.65148445440323,167.37179237410948,5.25,878.7019099640747,48.81677277578193,0.055790597458036495
21,VoxFormer,9,79,87,173,88,260,526.5280041189719,1679.4522208456976,9.854430379746836,16550.044986435136,919.4469436908408,0.5598174069485659
22,VoxFormer,16,73,65,115,89,180,515.8571927982413,1165.6320175739515,12.602739726027398,14690.156933808705,816.1198296560392,0.3885440058579838
23,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
24,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
25,VoxFormer,17,73,68,119,90,187,521.344061099497,1213.9765290136493,13.856164383561644,16821.058343798715,934.5032413221509,0.40465884300454974
26,VoxFormer,11,71,55,101,82,156,474.6857932898427,991.7781127204212,7.823943661971831,7759.6160791013235,431.08978217229577,0.33059270424014037
27,VoxFormer,6,37,23,46,43,69,208.2595495325981,374.41226807444474,3.72972972972973,1396.456567412794,77.58092041182188,0.12480408935814824
28,VoxFormer,4,9,6,11,13,17,36.52932501298081,62.907475208398566,2.4444444444444446,153.7738282871965,8.542990460399805,0.02096915840279952
29,VoxFormer,7,12,7,13,19,20,62.67103446305711,84.9585502688717,3.7916666666666665,322.1345031028052,17.896361283489178,0.028319516756290568
30,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31,VoxFormer,15,112,73,140,127,213,821.0271102045793,1488.5898382824714,9.375,13955.529733898169,775.3072074387871,0.49619661276082383
32,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
33,VoxFormer,5,23,13,26,28,39,115.65156546374811,187.48684196024655,2.8260869565217392,529.8541185833055,29.436339921294753,0.06249561398674885
34,VoxFormer,9,70,44,83,79,127,457.5791361991285,800.5801550184921,5.335714285714285,4271.666969991526,237.31483166619586,0.26686005167283067
35,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36,VoxFormer,10,37,29,58,47,87,225.9690554771448,483.2492300959545,7.837837837837838,3787.629100752076,210.42383893067088,0.1610830766986515
37,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
38,VoxFormer,6,14,9,18,20,27,68.81274391313339,116.69205856195879,3.857142857142857,450.09794016755535,25.005441120419743,0.03889735285398626
39,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40,VoxFormer,4,15,9,18,19,27,66.60335893412778,114.6940428629768,2.4,275.2657028711443,15.292539048396906,0.03823134762099227
41,VoxFormer,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
42,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
43,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
44,VoxFormer,7,19,16,25,26,41,100.36210720983135,192.7180284437848,4.605263157894737,887.5172362542721,49.30651312523734,0.06423934281459492
45,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46,VoxFormer,5,10,12,18,15,30,44.82892142331043,117.20671786825557,4.5,527.43023040715,29.30167946706389,0.03906890595608519
47,VoxFormer,5,7,8,14,12,22,31.26112492884004,78.86917501586544,5.0,394.3458750793272,21.90810417107373,0.026289725005288478
48,VoxFormer,5,7,8,14,12,22,31.26112492884004,78.86917501586544,5.0,394.3458750793272,21.90810417107373,0.026289725005288478
49,VoxFormer,10,83,54,102,93,156,562.3475537506683,1020.108774532853,6.144578313253012,6268.138253153675,348.22990295298194,0.3400362581776177
50,VoxFormer,12,72,69,137,84,206,487.2541501125003,1316.8173890924245,11.416666666666666,15033.665192138513,835.2036217854729,0.43893912969747484
51,VoxFormer,14,135,94,172,149,266,1008.6730745106687,1920.298826442935,8.91851851851852,17126.220644720695,951.4567024844831,0.6400996088143117
52,VoxFormer,9,22,13,22,31,35,126.63682062300134,173.39687086354064,4.5,780.2859188859329,43.34921771588516,0.05779895695451355
53,VoxFormer,6,29,16,29,35,45,156.39122386302654,230.81773576252348,3.0,692.4532072875704,38.46962262708725,0.07693924525417449
54,VoxFormer,6,16,12,18,22,30,79.50977500432694,133.78294855911892,3.375,451.51745138702637,25.0843028548348,0.044594316186372975
55,VoxFormer,4,7,5,9,11,14,27.651484454403228,48.43204266092217,2.5714285714285716,124.53953827094274,6.918863237274596,0.016144014220307392
56,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57,VoxFormer,7,31,67,134,38,201,173.2315700763964,1054.8334302021606,15.129032258064516,15958.608992413332,886.5893884674074,0.3516111434007202
58,VoxFormer,6,24,13,26,30,39,125.5488750216347,191.36873322873222,3.25,621.9483829933797,34.55268794407665,0.06378957774291075
59,VoxFormer,7,39,35,63,46,98,225.78217099003092,541.3090716935873,5.653846153846154,3060.4782130368203,170.02656739093447,0.18043635723119575
60,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
61,VoxFormer,7,28,30,60,35,90,154.25742227201613,461.63547152504697,7.5,3462.266036437852,192.34811313543622,0.15387849050834898
62,VoxFormer,9,42,24,44,51,68,255.00665676968876,385.7249232540617,4.714285714285714,1818.4174953405766,101.02319418558758,0.12857497441802057
63,VoxFormer,5,21,25,49,26,74,103.84830635279079,347.83253914244085,5.833333333333333,2029.0231449975715,112.72350805542064,0.11594417971414694
64,VoxFormer,4,21,24,48,25,72,100.23866587835397,334.35764566378015,4.571428571428571,1528.4920944629948,84.91622747016638,0.11145254855459338
65,VoxFormer,0,0,0,0,0,0,0,0,0,0,0.0,0.0
66,VoxFormer,12,45,32,63,57,95,290.15293934348927,554.1245513456505,8.4,4654.646231303464,258.59145729463694,0.1847081837818835
67,pylot,6,27,17,31,33,48,143.89173756274062,242.13091772920575,3.4444444444444446,834.0064944005976,46.333694133366535,0.08071030590973526
68,pylot,6,18,13,25,24,38,90.56842503028855,174.22857502740396,4.166666666666667,725.9523959475166,40.33068866375092,0.058076191675801324
69,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
70,pylot,4,14,9,18,18,27,61.30296890880645,112.58797503894243,2.5714285714285716,289.5119358144234,16.083996434134633,0.03752932501298081
71,pylot,5,110,53,110,115,163,757.5592089621493,1115.8148783039333,2.5,2789.537195759833,154.97428865332407,0.37193829276797774
72,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73,pylot,7,85,59,107,92,166,564.4497140261079,1082.9112847054641,4.405882352941177,4771.179719084663,265.06553994914793,0.36097042823515474
74,pylot,16,275,249,478,291,727,2292.4041473133066,5950.404374294323,13.905454545454546,82743.0775538236,4596.8376418790895,1.9834681247647743
75,pylot,6,55,34,71,61,105,333.4845592481832,622.7274204441031,3.8727272727272726,2411.653464628981,133.9807480349434,0.20757580681470103
76,pylot,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451
77,pylot,5,8,5,10,13,15,35.60964047443681,55.506595772116384,3.125,173.4581117878637,9.636561765992427,0.01850219859070546
78,pylot,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451
79,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
80,pylot,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451
81,pylot,3,5,3,6,8,9,16.36452797660028,27.0,1.8,48.6,2.7,0.009
82,pylot,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451
83,pylot,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451
84,pylot,4,6,4,8,10,12,23.509775004326936,39.863137138648355,2.6666666666666665,106.3016990363956,5.905649946466422,0.013287712379549451
85,pylot,12,48,34,62,60,96,311.0977500432694,567.0614971784178,7.75,4394.726603132738,244.15147795181878,0.1890204990594726
86,pylot,5,19,10,20,24,30,92.32026322986493,137.5488750216347,2.6315789473684212,361.97072374114396,20.109484652285776,0.04584962500721157
87,pylot,5,13,9,17,18,26,59.715356810271004,108.41805003750011,3.269230769230769,354.44362512259653,19.691312506810917,0.036139350012500036
88,pylot,5,7,5,9,12,14,31.26112492884004,50.18947501009619,3.2142857142857144,161.32331253245204,8.962406251802891,0.016729825003365395
89,pylot,6,9,6,11,15,17,44.039100017307746,66.41714012534482,3.6666666666666665,243.52951379293097,13.52941743294061,0.02213904670844827
90,pylot,5,7,5,9,12,14,31.26112492884004,50.18947501009619,3.2142857142857144,161.32331253245204,8.962406251802891,0.016729825003365395
91,pylot,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
92,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
93,pylot,5,11,8,15,16,23,49.663388279447084,92.0,3.409090909090909,313.6363636363636,17.424242424242422,0.030666666666666665
94,pylot,11,56,41,75,67,116,363.26562344023614,703.6663460931015,7.366071428571429,5183.25656720365,287.9586981779805,0.2345554486977005
95,pylot,10,40,28,51,50,79,246.09640474436813,445.8646389922032,6.375,2842.3870735752953,157.9103929764053,0.1486215463307344
96,pylot,4,8,5,10,12,15,32.0,53.77443751081735,2.5,134.43609377704337,7.468671876502409,0.017924812503605784
97,pylot,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
98,pylot,5,8,6,11,13,17,35.60964047443681,62.907475208398566,3.4375,216.24444602887007,12.013580334937226,0.02096915840279952
99,pylot,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
100,pylot,4,13,7,14,17,21,56.105716335834195,85.83671966625714,2.1538461538461537,184.87908851193845,10.27106047288547,0.02861223988875238
101,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
102,pylot,2,4,4,6,6,10,10.0,25.84962500721156,1.5,38.77443751081734,2.1541354172676304,0.00861654166907052
103,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
104,pylot,5,21,17,29,26,46,103.84830635279079,216.22022703449025,3.4523809523809526,746.4745933333593,41.47081074074218,0.07207340901149675
105,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
106,pylot,5,27,37,68,32,105,139.9916030328505,525.0,6.296296296296297,3305.5555555555557,183.64197530864197,0.175
107,pylot,5,20,12,23,25,35,98.04820237218406,162.53496664211536,2.875,467.2880290960817,25.960446060893428,0.054178322214038455
108,pylot,12,51,41,77,63,118,332.3132424492002,705.3190309729902,9.058823529411764,6389.360633520028,354.96447964000157,0.2351063436576634
109,pylot,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
110,pylot,14,133,97,181,147,278,991.6555328304646,2001.5089118645094,9.526315789473685,19067.00594986717,1059.2781083259538,0.6671696372881698
111,pylot,12,43,26,50,55,76,276.3489344608441,439.38333822787416,6.976744186046512,3065.465150427029,170.30361946816828,0.14646111274262472
112,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
113,pylot,10,31,22,42,41,64,186.7993665708668,342.88332829555736,6.774193548387097,2322.7580303892596,129.0421127994033,0.11429444276518579
114,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
115,pylot,6,41,36,67,47,103,235.16940719366838,572.1226517227967,4.902439024390244,2804.7964145434667,155.82202303019258,0.19070755057426558
116,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
117,pylot,4,8,4,8,12,12,32.0,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
118,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
119,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
120,pylot,4,8,4,8,12,12,32.0,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
121,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
122,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
125,pylot,6,13,9,16,19,25,63.61549134016113,106.19818783608963,3.6923076923076925,392.11638585633096,21.784243658685053,0.03539939594536321
126,pylot,5,10,6,11,15,17,44.82892142331043,66.41714012534482,2.75,182.64713534469826,10.147063074705459,0.02213904670844827
127,pylot,11,28,20,36,39,56,172.65968562262316,295.98252425628596,7.071428571428571,2093.0192786694506,116.27884881496948,0.09866084141876198
128,pylot,3,16,13,22,19,35,68.75488750216347,148.67746297052548,2.0625,306.6472673767088,17.035959298706043,0.04955915432350849
129,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
130,pylot,6,15,8,16,21,24,74.11313393845472,105.41561814669026,3.2,337.32997806940887,18.74055433718938,0.03513853938223009
131,pylot,6,11,6,12,17,18,53.563522809337215,73.57433114250613,3.272727272727273,240.78872010274733,13.377151116819297,0.02452477704750204
132,pylot,14,92,61,117,106,178,653.4706688660516,1197.5698409122494,8.902173913043478,10660.974996816656,592.2763887120365,0.39918994697074983
133,pylot,16,91,68,126,107,194,656.2093122580814,1307.8445953618225,11.076923076923077,14486.893979392495,804.827443299583,0.43594819845394084
134,pylot,1,6,6,6,7,12,15.509775004326936,33.68825906469125,0.5,16.844129532345626,0.9357849740192015,0.011229419688230418
135,pylot,3,7,4,8,10,12,24.406371956566698,39.863137138648355,1.7142857142857142,68.33680652339717,3.796489251299843,0.013287712379549451
136,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
137,pylot,13,67,39,76,80,115,454.5336920965049,727.0217309120466,7.373134328358209,5360.428881650016,297.801604536112,0.24234057697068218
138,pylot,10,47,32,58,57,90,294.2849569777226,524.9601012748268,6.170212765957447,3239.1155185042508,179.95086213912504,0.17498670042494227
139,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
140,pylot,6,31,19,35,37,54,169.0898606263201,281.3104817439633,3.3870967741935485,952.8258252618111,52.93476807010062,0.0937701605813211
141,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
142,pylot,13,67,45,80,80,125,454.5336920965049,790.2410118609203,7.7611940298507465,6133.213823398187,340.7341012998993,0.26341367062030674
143,pylot,11,44,30,58,55,88,278.26873902505133,508.7596547901701,7.25,3688.507497228733,204.91708317937406,0.16958655159672337
144,pylot,8,35,25,45,43,70,203.5249055930738,379.83853282914686,5.142857142857143,1953.4553116927555,108.52529509404197,0.12661284427638228
145,pylot,7,26,17,28,33,45,141.86291712607164,226.9977353711304,3.769230769230769,855.6068487065684,47.533713817031575,0.07566591179037681
146,pylot,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
147,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
148,pylot,15,56,48,91,71,139,383.8152345693536,854.8148496111509,12.1875,10418.055979635901,578.7808877575501,0.28493828320371695
149,pylot,4,9,8,10,13,18,36.52932501298081,66.60791492653966,2.2222222222222223,148.0175887256437,8.223199373646871,0.022202638308846556
150,pylot,8,23,12,23,31,35,128.0419249893113,173.39687086354064,4.0,693.5874834541626,38.5326379696757,0.05779895695451355
151,pylot,8,31,20,37,39,57,177.58008562199316,301.26792647514816,4.774193548387097,1438.3113909136107,79.90618838408949,0.10042264215838272
152,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
153,pylot,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
154,pylot,3,6,3,6,9,9,20.264662506490406,28.529325012980813,1.5,42.793987519471216,2.377443751081734,0.009509775004326938
155,pylot,10,64,39,74,74,113,417.21928094887363,701.6682303160715,5.78125,4056.519456514788,225.36219202859934,0.23388941010535716
156,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
157,pylot,6,19,10,20,25,30,96.22039775975506,139.31568569324173,3.1578947368421053,439.9442706102371,24.441348367235392,0.04643856189774724
158,pylot,12,43,33,65,55,98,276.3489344608441,566.5732519254167,9.069767441860465,5138.687633742152,285.48264631900844,0.18885775064180557
159,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
160,pylot,1,8,4,8,9,12,24.0,38.03910001730775,0.5,19.019550008653876,1.0566416671474377,0.012679700005769252
161,pylot,4,8,4,8,12,12,32.0,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
162,pylot,2,6,3,6,8,9,17.509775004326936,27.0,1.0,27.0,1.5,0.009
163,pylot,10,28,19,36,38,55,167.82521876648653,288.6360132393972,6.428571428571429,1855.5172279675535,103.08429044264186,0.0962120044131324
164,pylot,9,35,24,47,44,71,208.05423060605463,387.61964492324813,6.042857142857143,2342.3301400361993,130.1294522242333,0.12920654830774939
165,pylot,2,6,3,6,8,9,17.509775004326936,27.0,1.0,27.0,1.5,0.009
166,pylot,0,0,0,0,0,0,0,0,0,0,0.0,0.0
167,pylot,14,82,62,122,96,184,574.6222332874894,1211.6331001326928,10.414634146341463,12618.715457479508,701.0397476377505,0.4038777000442309
